ticker,sector,pe_ratio,ps_ratio,pb_ratio,peg_ratio,free_cash_flow,earnings_growth,pe_vs_sector
BKNG,Consumer Cyclical,23.293007,5.583804,-14.752565,0.94,7725875200.0,1.3,-20.275222595744683
BSX,Healthcare,19.987854,3.4077187,2.8650184,0.75,2451375104.0,0.151,-13.178619096153845
BMY,Healthcare,14.420705,2.7189958,5.992677,2.39,8114375168.0,1.531,-18.745768096153846
AVGO,Technology,60.4701,22.949738,19.752035,0.41,27212249088.0,0.854,8.600750052631582
BR,Technology,18.613138,2.7221394,7.3266835,1.91,1194499968.0,0.084,-33.25621194736842
BRO,Financial Services,23.028753,3.6197984,1.890375,1.51,1642749952.0,0.071,3.8506077117647024
BF-B,Consumer Defensive,18.568628,3.3188221,3.2416704,2.14,739625024.0,-0.627,-7.383102879999999
BLDR,Industrials,76.434784,0.5236583,1.8890531,2.02,464577120.0,,40.631534426666654
BG,Consumer Defensive,25.122845,0.24390732,1.4037476,1.37,-6475375104.0,0.33,-0.8288858799999979
BXP,Real Estate,36.44086,3.8429549,2.0974128,3.07,880636864.0,-0.232,-18.239563267857136
CHRW,Industrials,27.39619,0.98883325,10.348971,1.98,480618368.0,0.238,-8.407059573333338
CDNS,Technology,62.220238,14.793777,12.592964,2.85,1609676544.0,1.254,10.350888052631582
CPT,Real Estate,35.5,6.85911,2.9106994,9.17,139679632.0,-0.757,-19.180423267857137
COF,Financial Services,11.713341,2.7094839,1.2658243,0.23,,,-7.464804288235296
CAH,Healthcare,31.598894,0.20898594,-18.4644,1.2,4752500224.0,0.688,-1.5675790961538425
CCL,Consumer Cyclical,11.427928,1.2723079,2.6840882,0.93,1899374976.0,-0.065,-32.14030159574468
CARR,Industrials,42.964287,2.2427697,3.7747097,1.45,861750016.0,-0.118,7.16103742666666
CVNA,Consumer Cyclical,37.841267,4.2472234,12.766868,,424375008.0,0.615,-5.726962595744681
CASY,Consumer Cyclical,43.257442,1.7455701,7.736085,3.63,550939648.0,0.66,-0.31078759574468506
CAT,Industrials,35.05546,5.0156474,19.325243,1.79,5048999936.0,0.682,-0.7477895733333426
CBOE,Financial Services,22.923616,6.0684414,5.4660172,2.39,678249984.0,0.502,3.7454707117647033
CBRE,Real Estate,34.734554,1.0055736,5.2388344,1.02,1637624960.0,-0.042,-19.945869267857134
CDW,Technology,16.069794,0.710406,6.8517184,1.33,676787520.0,0.049,-35.79955594736842
COR,Healthcare,23.344957,0.18045847,19.682888,0.66,2043314048.0,0.119,-9.821516096153843
CNP,Utilities,23.928572,2.7526565,2.2593155,1.95,-5191875072.0,0.233,3.32760235483871
CF,Basic Materials,9.324926,2.4580958,3.3151357,0.4,1276749952.0,0.996,-50.9052802
SCHW,Financial Services,19.99818,7.295438,4.3185306,1.11,,0.426,0.8200347117647055
CHTR,Communication Services,3.8459136,0.36610636,1.0396701,0.96,2198374912.0,0.161,-44.711194555
CVX,Energy,19.804619,1.9277459,2.1257231,0.79,21934000128.0,3.219,-0.035692619047619445
CMG,Consumer Cyclical,32.675926,3.594452,20.340057,1.87,1116464384.0,-0.013,-10.892303595744686
CB,Financial Services,12.14559,2.1371202,1.7542593,2.69,10488000512.0,-0.007,-7.0325552882352955
CHD,Consumer Defensive,31.221157,3.7093694,5.3127904,3.0,939262528.0,0.09,5.269426120000002
CIEN,Technology,130.82668,9.975794,19.214725,0.69,700927872.0,23.833,78.95733005263159
CI,Healthcare,11.343944,0.25678065,1.6978401,0.83,7980125184.0,0.102,-21.822529096153843
CINF,Financial Services,7.940982,1.8498977,1.5476136,2.19,2984875008.0,0.855,-11.237163288235296
CTAS,Industrials,41.450104,7.2298484,15.844297,3.22,1464424832.0,0.156,5.646854426666664
CSCO,Technology,32.90991,6.8210316,8.606093,1.02,11568000000.0,0.52,-18.959439947368416
C,Financial Services,13.973061,2.6619499,1.13014,0.72,,0.61,-5.205084288235296
CFG,Financial Services,15.187363,3.5976272,1.2240347,1.65,,0.413,-3.9907822882352963
CLX,Consumer Defensive,22.045738,1.9082626,142.52689,1.35,110375000.0,-0.501,-3.9059928799999994
CME,Financial Services,22.955084,14.414142,3.6695294,4.68,2909012480.0,0.025,3.7769387117647035
CMS,Utilities,20.96997,2.4846356,2.293042,2.73,-2198874880.0,-0.439,0.3690003548387111
KO,Consumer Defensive,27.177177,7.7675734,10.772527,4.35,5218749952.0,0.169,1.2254461200000009
CTSH,Technology,13.072962,1.267954,1.9039879,0.97,2215500032.0,0.038,-38.796387947368416
COHR,Technology,70.56691,7.979177,5.2070017,0.92,-649981632.0,,18.697560052631573
CL,Consumer Defensive,35.31496,3.3974628,303.04053,1.75,3458374912.0,-0.055,9.36322912
CMCSA,Communication Services,8.467949,0.7506164,1.0438149,142.98,12697624576.0,-0.668,-40.089159155000004
FIX,Industrials,41.094078,5.243843,91.143555,0.74,1841915392.0,0.388,5.290828426666664
COP,Energy,17.842592,2.5139763,2.4797323,1.03,7691375104.0,1.07,-1.9977196190476185
ED,Utilities,17.814144,2.264466,1.5581706,2.27,-844875008.0,0.221,-2.78682564516129
STZ,Consumer Defensive,12.787416,2.529806,2.786051,1.67,2210487552.0,0.307,-13.16431488
CEG,Utilities,26.6784,3.0923433,3.0324783,3.74,-6625124864.0,-0.468,6.077430354838711
CPRT,Industrials,21.322983,6.851481,3.6224544,4.07,999977152.0,0.023,-14.480266573333338
GLW,Technology,70.11574,7.690242,10.924764,1.16,734499968.0,0.185,18.246390052631583
CPAY,Technology,25.045591,5.388257,7.6371255,0.93,1946175872.0,-0.07,-26.823758947368418
CTVA,Basic Materials,48.157578,2.9763863,2.1066306,1.26,2417250048.0,-0.099,-12.072628199999997
CSGP,Real Estate,179.2222,3.6759489,1.6463383,0.67,412700000.0,12.61,124.54177673214285
COST,Consumer Defensive,46.88649,1.4101167,25.041847,4.64,6954375168.0,0.455,20.934759120000002
CRH,Basic Materials,16.446997,1.6031096,2.5790987,1.89,2019124992.0,0.139,-43.7832092
CCI,Real Estate,30.771427,7.9176717,-9.821522,0.91,1036249984.0,-0.675,-23.908996267857137
CSX,Industrials,29.63372,6.5063844,6.7048144,2.06,1953250048.0,0.227,-6.169529573333339
CMI,Industrials,30.282797,2.3530042,6.3569827,1.37,2229374976.0,0.047,-5.5204525733333405
CVS,Healthcare,24.709763,0.290263,1.5016435,0.25,8076000256.0,1.888,-8.456710096153845
DHR,Healthcare,38.55536,6.045395,2.8862658,1.38,4325125120.0,0.597,5.388886903846156
