ticker,price,above_sma50,above_sma200,rsi,macd_bullish,volume_today,avg_volume_30d,volume_spike
MMM,182.64999389648438,True,True,59.22371151944192,False,2644600.0,3403316.6666666665,False
AOS,62.16999816894531,True,False,50.344608625811155,True,747700.0,1699993.3333333333,False
ABT,111.25,True,True,72.23684243548269,True,5575400.0,10879596.666666666,False
ABBV,249.4600067138672,True,True,41.04351967115259,False,4195000.0,5691096.666666667,False
ACN,176.88999938964844,True,False,73.10260381361493,True,6291000.0,7251046.666666667,False
ADBE,264.0199890136719,True,False,63.30935073826337,True,2874100.0,5226630.0,False
AMD,514.3900146484375,True,True,53.4566132927648,True,25481000.0,27746326.666666668,False
AES,14.729999542236328,True,True,67.57642935843145,False,3478000.0,7480300.0,False
AFL,121.44999694824219,True,True,33.818879528108425,False,1439300.0,1951463.3333333333,False
A,148.52999877929688,True,True,76.33663613145828,True,983100.0,1930553.3333333333,False
APD,308.9700012207031,True,True,69.79947915898627,True,474500.0,1047220.0,False
ABNB,184.05999755859375,True,True,82.52315565214028,True,3762300.0,4429166.666666667,False
AKAM,124.98999786376953,True,True,61.85546886059456,True,2173200.0,3705246.6666666665,False
ALB,136.14999389648438,True,False,77.77466282657558,True,2339100.0,2211050.0,False
ARE,48.13999938964844,False,False,40.62319363128045,False,1199400.0,1736306.6666666667,False
ALGN,181.30999755859375,True,True,62.56634150616151,True,960000.0,905096.6666666666,False
ALLE,164.77999877929688,True,True,66.5219819640827,False,1048300.0,1327710.0,False
LNT,70.5999984741211,False,True,35.35172644009769,False,1610200.0,2593306.6666666665,False
ALL,261.4100036621094,True,True,50.10343863572827,False,1544100.0,1756296.6666666667,False
GOOGL,345.8999938964844,False,True,59.572366920516785,False,17753300.0,29180496.666666668,False
GOOG,343.5400085449219,False,True,59.16009647807582,False,10911700.0,19447686.666666668,False
MO,65.69999694824219,False,True,28.35640524623055,False,6246900.0,8496996.666666666,False
AMZN,262.6499938964844,True,True,66.42842376208341,True,27184900.0,44606220.0,False
AMCR,46.029998779296875,True,True,53.93817296827335,False,3547700.0,3703916.6666666665,False
AEE,109.73999786376953,False,True,34.41357561372185,False,1002800.0,1558503.3333333333,False
AEP,125.5999984741211,False,True,26.036209652030934,False,2359700.0,3976846.6666666665,False
AXP,342.4800109863281,True,True,58.17763012930036,False,1529500.0,2857220.0,False
AIG,76.63999938964844,False,False,37.59840864103712,False,2812400.0,3366033.3333333335,False
AMT,175.5800018310547,True,True,60.38046672304804,True,1853100.0,2955003.3333333335,False
AWK,136.1999969482422,True,True,56.421622476122266,False,1728100.0,2301673.3333333335,False
AMP,569.5399780273438,True,True,75.07734686427146,False,289900.0,546030.0,False
AME,254.7899932861328,True,True,64.45647988222431,True,1577100.0,1113466.6666666667,False
AMGN,415.2099914550781,True,True,73.06642839612333,True,2036200.0,2503203.3333333335,False
APH,167.11000061035156,True,True,68.91575876424906,True,4481900.0,6506286.666666667,False
ADI,389.3900146484375,False,True,59.529513506902184,True,2115600.0,3657426.6666666665,False
AON,355.8299865722656,True,True,40.664053240556164,False,704500.0,1228676.6666666667,False
APA,40.470001220703125,True,True,70.62635481529472,True,3961200.0,5462730.0,False
APO,140.75999450683594,True,True,67.62696728364459,True,2558900.0,4339026.666666667,False
AAPL,305.92999267578125,False,True,26.09353010535925,False,28186700.0,51296536.666666664,False
AMAT,507.17999267578125,False,True,48.41043474368461,True,13114200.0,8158713.333333333,True
APP,315.44000244140625,False,False,26.869853123521267,False,5261900.0,6850730.0,False
APTV,49.560001373291016,False,False,32.64408661593606,False,2419900.0,3578693.3333333335,False
ACGL,98.70999908447266,True,True,32.54561658372742,False,1000100.0,1745193.3333333333,False
ADM,80.44999694824219,True,True,41.46947912084362,False,2065600.0,3730586.6666666665,False
ARES,144.02000427246094,True,True,66.82534406901827,True,2018200.0,2206743.3333333335,False
ANET,198.82000732421875,True,True,64.8812143201527,True,4704900.0,8033136.666666667,False
AJG,251.2100067138672,True,True,48.07451901921846,False,895800.0,1396790.0,False
AIZ,282.3800048828125,True,True,54.617070004797306,False,359500.0,373536.6666666667,False
T,24.889999389648438,True,True,54.76672517671984,True,27103200.0,68374426.66666667,False
ATO,169.9199981689453,False,False,22.185029847647627,False,1285300.0,1057916.6666666667,False
ADSK,251.66000366210938,True,True,67.50033807018752,True,1395300.0,2052940.0,False
ADP,272.9599914550781,True,True,65.59138077632397,False,1457400.0,2318876.6666666665,False
AZO,3025.0,False,False,44.80699366390921,True,241300.0,178986.66666666666,False
AVB,184.05999755859375,False,True,40.602776137187455,False,2484400.0,961580.0,True
AVY,178.92999267578125,True,True,71.23394751535454,True,702600.0,823953.3333333334,False
AXON,612.8300170898438,True,True,61.35330214805861,True,451800.0,949340.0,False
BKR,64.81999969482422,True,True,66.49405028911194,True,6692500.0,8937770.0,False
BALL,61.81999969482422,True,True,34.28887227114549,False,1606600.0,1906593.3333333333,False
BAC,64.48999786376953,True,True,65.94592922703384,True,21844600.0,30940240.0,False
BAX,26.729999542236328,True,True,67.74868932184265,False,4956200.0,7110073.333333333,False
BDX,183.39999389648438,True,True,86.77907355636222,True,1009000.0,1863960.0,False
BRK-B,504.0299987792969,True,True,54.91604046527621,False,3961400.0,4211800.0,False
BBY,86.41999816894531,True,True,52.058208008740344,False,2920700.0,3460853.3333333335,False
TECH,72.4000015258789,True,True,71.66659602424448,False,2014000.0,3714236.6666666665,False
BIIB,209.8300018310547,True,True,59.399612747856956,True,554400.0,1294333.3333333333,False
BLK,1173.72998046875,True,True,80.81862474866085,True,514900.0,734606.6666666666,False
BX,143.92999267578125,True,True,64.18862617231291,True,3803400.0,4819030.0,False
XYZ,82.87999725341797,True,True,54.20512993064679,False,4281300.0,5084463.333333333,False
BNY,163.24000549316406,True,True,63.6408883422958,True,1924700.0,3378546.6666666665,False
BA,231.6699981689453,True,True,64.43394530815783,True,2646500.0,5538410.0,False
BKNG,212.05999755859375,True,True,75.6132204890298,True,4105500.0,5843603.333333333,False
BSX,51.83000183105469,True,False,84.57331123536466,True,16278700.0,18532826.666666668,False
BMY,63.83000183105469,True,True,55.83104620552798,False,7528400.0,11739460.0,False
AVGO,392.989990234375,True,True,54.49608102813149,True,29432900.0,19645263.333333332,False
BR,171.00999450683594,True,False,68.43275718158269,True,587600.0,1136066.6666666667,False
BRO,70.54000091552734,True,True,53.45983796900621,False,1647800.0,2595066.6666666665,False
BF-B,28.420000076293945,True,True,65.89673884874934,False,1297200.0,2331086.6666666665,False
BLDR,72.51000213623047,False,False,49.49813772173014,True,1352300.0,2199223.3333333335,False
BG,113.69000244140625,False,True,36.31286255588848,True,538200.0,1415043.3333333333,False
BXP,68.44999694824219,True,True,47.65623730014836,False,939800.0,1359873.3333333333,False
CHRW,148.57000732421875,False,False,30.29980463829058,False,859500.0,2127656.6666666665,False
CDNS,324.82000732421875,False,False,37.94370330843116,False,2567700.0,2234030.0,False
CPT,110.36000061035156,False,True,43.35478774686137,False,781400.0,954240.0,False
COF,227.33999633789062,True,True,76.5228564601299,True,2972000.0,3849126.6666666665,False
CAH,235.1699981689453,True,True,56.539323654336286,False,1687700.0,2272706.6666666665,False
CCL,28.1200008392334,True,True,58.09739554999823,True,15045600.0,17971540.0,False
CARR,62.779998779296875,False,False,32.844423591400414,False,3153700.0,6221560.0,False
CVNA,75.58999633789062,True,True,70.69148619192603,True,5470100.0,9810563.333333334,False
CASY,846.4500122070312,True,True,47.73768021841543,False,242700.0,334896.6666666667,False
CAT,856.5700073242188,False,True,46.580718678912504,True,1893400.0,2984283.3333333335,False
CBOE,296.1400146484375,True,True,53.8806534218637,False,362600.0,1055603.3333333333,False
CBRE,152.86000061035156,True,True,64.81845838056586,True,950600.0,1674620.0,False
CDW,139.4199981689453,True,True,51.28205564382328,False,1170900.0,1967440.0,False
COR,313.82000732421875,True,False,51.89078238298112,False,1524200.0,1552243.3333333333,False
CNC,67.47000122070312,True,True,58.113925922950074,True,2266500.0,4724256.666666667,False
CNP,40.83000183105469,False,False,18.94534029416387,False,2984500.0,6469356.666666667,False
CF,118.30000305175781,True,True,42.95778277886909,False,1277100.0,2379770.0,False
CRL,280.04998779296875,True,True,83.37922907936928,True,750400.0,905866.6666666666,False
SCHW,111.08999633789062,True,True,80.30823443872595,True,5984900.0,7917770.0,False
CHTR,154.27000427246094,True,False,68.87705709058774,True,1164800.0,2694366.6666666665,False
CVX,200.0,True,True,62.15362646737014,True,7907500.0,7809590.0,False
CMG,33.5,True,False,50.98424984975244,False,14697900.0,18703386.666666668,False
CB,343.6400146484375,True,True,30.646392774176775,False,2433200.0,1899506.6666666667,False
CHD,101.30000305175781,True,True,61.7970393423961,True,1426500.0,1799303.3333333333,False
CIEN,428.7699890136719,True,True,60.82842502635958,True,2518000.0,2042396.6666666667,False
CI,282.55999755859375,False,True,44.42835223999868,False,895800.0,1796723.3333333333,False
CINF,173.1699981689453,False,True,31.28881707041849,False,282100.0,819153.3333333334,False
CTAS,199.52000427246094,True,True,32.05202780665033,False,1612800.0,2370546.6666666665,False
CSCO,111.68000030517578,False,True,45.746245828761005,False,29390600.0,22395553.333333332,False
C,139.3300018310547,True,True,63.063090116363,True,6829700.0,11390523.333333334,False
CFG,74.7300033569336,True,True,70.46856619051256,True,1918800.0,4321240.0,False
CLX,105.69999694824219,True,True,69.28612130189629,True,1936200.0,2605066.6666666665,False
CME,269.79998779296875,True,False,70.23542085503158,True,1717100.0,2418166.6666666665,False
CMS,71.11000061035156,False,False,33.262818375036716,False,2247200.0,3674166.6666666665,False
KO,87.70999908447266,True,True,68.5335879570641,False,9159800.0,16315120.0,False
CTSH,58.790000915527344,True,False,81.32337413810546,True,10664200.0,9804606.666666666,False
COHR,325.8299865722656,False,True,58.50227363627036,True,8740100.0,6022920.0,False
COIN,148.47000122070312,False,False,34.85185627179415,False,7245100.0,7203320.0,False
CL,91.94999694824219,True,True,49.870995632941415,False,3179700.0,4468756.666666667,False
CMCSA,26.18000030517578,True,False,76.82539230812083,True,20007200.0,30957706.666666668,False
FIX,1774.06005859375,False,True,52.99296035935313,True,375200.0,495640.0,False
COP,126.77999877929688,True,True,68.30063583229905,True,5626200.0,6511286.666666667,False
ED,108.80000305175781,False,True,38.13710109949048,False,1323500.0,2200686.6666666665,False
STZ,139.17999267578125,True,False,78.58277949540567,True,1429800.0,1940743.3333333333,False
CEG,282.5,True,False,59.83943653851698,True,2019600.0,2791273.3333333335,False
COO,76.16999816894531,True,True,75.12821633070129,True,887100.0,2000133.3333333333,False
CPRT,31.610000610351562,True,False,62.06896813411146,True,17353400.0,11304916.666666666,True
GLW,165.99000549316406,False,True,61.17310186546835,True,8301600.0,12632120.0,False
CPAY,417.6000061035156,True,True,71.21263894536496,True,292100.0,539706.6666666666,False
CTVA,76.68000030517578,False,True,27.590457108026513,False,2336400.0,4215206.666666667,False
CSGP,32.380001068115234,True,False,64.16594039811244,True,5996000.0,7382636.666666667,False
COST,961.0999755859375,True,True,54.80805688226448,True,1165100.0,2040406.6666666667,False
CRH,97.1500015258789,False,False,38.746818151183824,True,4332200.0,4222166.666666667,False
CRWD,216.9499969482422,True,True,75.14331929230555,True,6740900.0,8052266.666666667,False
CCI,75.9800033569336,False,False,54.86076253858798,True,2239600.0,4130993.3333333335,False
CSX,50.15999984741211,True,True,33.85827954211635,False,5625300.0,12536330.0,False
CMI,631.260009765625,False,True,40.149454037417776,False,577400.0,934563.3333333334,False
CVS,97.16000366210938,False,True,29.048635532072012,False,9436200.0,8174713.333333333,False
DHR,202.4499969482422,True,False,58.915185942713485,True,2244400.0,5556296.666666667,False
DRI,225.25999450683594,True,True,71.09251013679078,True,678000.0,1303263.3333333333,False
DDOG,255.4600067138672,True,True,51.09622609773618,False,4421900.0,5000903.333333333,False
DVA,180.05999755859375,False,True,15.696244358295587,False,506600.0,958916.6666666666,False
DECK,93.08999633789062,False,False,41.470581552978956,False,1654400.0,2237026.6666666665,False
DE,608.8499755859375,True,True,43.95964432284542,False,802300.0,1003153.3333333334,False
DELL,490.80999755859375,True,True,61.45571805214906,True,3989100.0,6441483.333333333,False
DAL,89.3499984741211,True,True,55.592655274583386,False,4455700.0,6017140.0,False
DVN,45.849998474121094,True,True,60.64923505254342,True,8917300.0,10649173.333333334,False
DXCM,89.75,True,True,76.99407275789639,True,3858900.0,5156793.333333333,False
FANG,202.47000122070312,True,True,56.74524594731699,True,986600.0,1861160.0,False
DLR,200.14999389648438,True,True,55.541529060846784,True,2369200.0,2818723.3333333335,False
DG,123.27999877929688,True,False,50.145766866435,False,1553700.0,2210536.6666666665,False
DLTR,129.38999938964844,True,True,72.85276982940734,False,1650600.0,2631033.3333333335,False
D,68.7699966430664,False,True,40.234365686765365,False,1951400.0,4122883.3333333335,False
DPZ,346.2699890136719,True,False,51.52969534896558,False,502800.0,917930.0,False
DASH,217.02000427246094,True,True,81.29194010084197,True,2626300.0,4020220.0,False
DOV,207.07000732421875,False,False,52.35703437118235,True,709900.0,1181230.0,False
DOW,31.06999969482422,True,True,63.06305977346371,True,7305700.0,9847476.666666666,False
