ticker,headline_count,sentiment_score
CSGP,10,0.0867037832736969
MU,10,-0.2811351478099823
HIG,10,0.0903197169303894
DAL,10,0.0
RVTY,2,-0.4449769854545593
ON,10,-0.13191238641738892
GPN,8,0.1140129379928112
CVS,10,0.15246502161026002
HPE,10,-0.2045134961605072
WST,10,-0.009658163785934449
LUV,10,0.005231034755706787
COF,10,0.030211788415908814
MET,10,0.17630643844604493
AMD,9,-0.08413178390926784
WRB,8,0.1835593581199646
CRWD,10,-0.1601797729730606
SWKS,10,-0.012135961651802063
KR,10,-0.017987674474716185
ZBH,4,0.2023671418428421
C,10,-0.06239250898361206
DELL,9,-0.2040081156624688
GM,10,-0.2304924786090851
GDDY,10,-0.30663849115371705
MCHP,10,-0.028293728828430176
CI,10,0.0
QCOM,10,-0.059049826860427854
META,10,-0.09616797566413879
CVX,10,0.09607639610767364
EG,10,0.0
PFG,10,-0.07809365391731263
