ticker,sector,pe_ratio,ps_ratio,pb_ratio,peg_ratio,free_cash_flow,earnings_growth,pe_vs_sector,undervalued_flag,score,price,sma50,sma200,above_sma50,above_sma200,rsi,macd_bullish,volume_today,avg_volume_30d,volume_spike,fundamentals_score,technicals_score
HIG,Financial Services,9.810083,1.3283398,1.999268,0.12,5507500032.0,0.361,-10.285330686956522,True,84.99615034646882,141.97000122070312,134.3928938293457,133.81224822998047,True,True,55.40129676593933,True,435749.0,1768251.6333333333,False,91.66025057744804,75
CSGP,Real Estate,158.6111,3.278559,1.43158,0.11,427075008.0,12.61,104.99140106666667,False,70.0,28.559999465942383,30.78900005340576,49.0203000164032,False,False,50.68825918434386,True,4448705.0,7709566.833333333,False,100.0,25
MU,Technology,19.536802,10.820455,9.694494,0.13,7639499776.0,13.685,-89.32100428048778,True,60.76212371655781,855.6699829101562,961.8851611328125,514.6893540191651,False,True,41.806179711193636,False,38217247.0,50967994.9,False,84.60353952759635,25
GPN,Industrials,31.497242,2.646473,0.9844585,0.24,7124387840.0,,-3.1654801733333287,True,57.47497725204731,86.05999755859375,73.32699440002442,74.04925430297851,True,True,66.30859168847824,True,1083169.0,3432672.3,False,45.79162875341219,75
SW,Consumer Cyclical,50.164894,0.7894753,1.3713429,0.26,1270000000.0,,7.286794971153839,False,55.35796393709181,47.36000061035156,43.49379997253418,40.748196582794186,True,True,58.856825320271675,True,2014559.0,5939435.3,False,42.263273228486355,75
TPR,Consumer Cyclical,46.07599,3.9012532,44.94219,0.3,1529737472.0,0.737,3.1978909711538392,False,51.97074263316301,152.0500030517578,143.20072662353516,134.15270565032958,True,True,64.52028347383848,True,350003.0,2566420.1,False,36.61790438860503,75
DAL,Industrials,14.58917,0.8472019,2.6376247,0.21,2817374976.0,-0.254,-20.07355217333333,True,51.406573408393236,88.00499725341797,84.19111892700195,70.40553874969483,True,True,51.464630222159236,False,1877990.0,7613406.333333333,False,52.34428901398873,50
COF,Financial Services,11.420155,2.644643,1.1738968,0.22,,,-8.675258686956523,True,49.976902078812905,207.3800048828125,196.46199920654297,206.22285934448243,True,True,57.350733827336676,False,1361973.0,4558212.433333334,False,49.96150346468818,50
GM,Consumer Cyclical,38.79911,0.42368746,1.2293483,0.35,21933750272.0,-0.262,-4.078989028846159,True,48.82546570808627,87.19499969482422,80.11172912597657,76.97236804962158,True,True,69.01322966669088,True,2488455.0,8250515.166666667,False,31.375776180143788,75
FIS,Technology,8.806202,2.0530581,1.4704074,0.24,2446874880.0,30.406,-100.0516042804878,True,47.47497725204731,45.540000915527344,40.99574172973633,51.79628747940063,True,False,62.043310507945954,True,3001426.0,5646457.533333333,False,45.79162875341219,50
MSFT,Technology,27.31175,10.632689,8.167524,1.21,37011251200.0,0.234,-81.54605628048779,True,45.41254923420529,455.18499755859375,398.50445556640625,432.50690444946287,True,True,74.3680609685109,True,72243552.0,43156491.733333334,True,9.020915390342141,100
MET,Financial Services,18.665377,0.8003152,2.2815394,0.5,-17429749760.0,0.359,-1.430036686956523,True,43.16396724294813,96.6500015258789,88.16199920654297,78.96398315429687,True,True,70.7986614923903,True,2147719.0,3853563.966666667,False,21.93994540491356,75
CVS,Healthcare,46.01316,0.33000886,1.7242173,0.3,5201625088.0,0.631,13.702572925925928,False,41.97074263316301,104.94999694824219,100.35439132690429,83.2548677444458,True,True,53.96778307466368,False,2663525.0,7802977.5,False,36.61790438860503,50
ZBRA,Technology,34.586456,2.440369,3.9882038,0.56,559000000.0,0.038,-74.2713502804878,True,41.748592626663594,288.9150085449219,253.28309967041017,246.35512481689454,True,True,60.852606066188876,True,264220.0,751190.6666666666,False,19.580987711105998,75
AMCR,Consumer Cyclical,36.064003,0.93927646,1.7881083,0.62,149500000.0,-0.117,-6.8140960288461585,True,40.607161484498654,45.23500061035156,41.441436233520506,41.210871906280516,True,True,59.08890595558819,True,1147588.0,3425026.2666666666,False,17.678602474164425,75
ZBH,Healthcare,24.411919,2.1678863,1.4379894,0.65,1044124992.0,0.341,-7.89866807407407,True,40.115468069412216,94.38999938964844,88.42417465209961,90.68574741363526,True,True,55.73524204882007,True,710895.0,2315669.8333333335,False,16.859113449020356,75
APA,Energy,8.396271,1.5209651,1.9719697,0.66,1691250048.0,0.322,-92.44676294285715,True,39.96150346468818,35.959999084472656,35.30763736724853,30.849343061447144,True,True,65.05947687056948,True,1992966.0,5473762.2,False,16.602505774480296,75
CVX,Energy,33.219513,2.0445666,2.052397,0.78,11776499712.0,-0.445,-67.62352094285714,True,38.42185741744781,190.85000610351562,182.7286004638672,173.0996292114258,True,True,72.5148451200353,True,2473005.0,8720916.833333334,False,14.036429029079688,75
EME,Industrials,26.75663,2.000082,9.161208,0.36,891520000.0,0.3,-7.906092173333327,True,38.301252887240146,797.6950073242188,803.4064135742187,743.8012338256835,False,True,52.59766757503354,True,434943.0,503301.43333333335,False,30.502088145400247,50
BKNG,Consumer Cyclical,25.150198,5.342455,-17.066607,0.81,7075125248.0,2.4,-17.72790102884616,True,38.10822581523219,191.77999877929688,174.02860565185546,184.83791534423827,True,True,60.61519032359911,True,3113135.0,7354917.833333333,False,13.513709692053641,75
IR,Industrials,56.283787,4.1893206,3.2033534,0.81,1035425024.0,0.065,21.621064826666668,False,38.10822581523219,83.5,77.31900009155274,81.44671604156494,True,True,61.38032661874427,True,1280240.0,4239221.333333333,False,13.513709692053641,75
BEN,Financial Services,25.000002,1.8846825,1.4036516,0.37,-242137504.0,0.872,4.904588313043476,False,37.805375894547865,32.79999923706055,32.327386169433595,26.52003942489624,True,True,44.16666401757303,False,2090225.0,4575387.5,False,29.675626490913114,50
IQV,Healthcare,29.434782,2.29653,6.3201833,0.86,2149750016.0,-0.006,-2.875805074074073,True,37.63413153281321,237.99000549316406,192.71759979248046,197.30024978637695,True,True,69.86554122538172,True,700247.0,1581254.9,False,12.723552554688682,75
XYZ,Technology,63.75,1.9840392,2.2126412,0.86,-794561728.0,,-45.10780628048779,True,37.63413153281321,81.70999908447266,75.16739944458008,67.63199989318848,True,True,61.019487568196574,True,1230730.0,5266641.0,False,12.723552554688682,75
VZ,Communication Services,11.98047,1.3830347,1.8393908,0.88,18881875968.0,-0.22,-39.3969718,True,37.45957863792259,45.994998931884766,44.946268005371095,43.29909969329834,True,True,68.65671258016005,True,9519561.0,33033395.366666667,False,12.432631063204312,75
CI,Healthcare,12.253814,0.27528724,1.8128307,0.89,6923375104.0,0.291,-20.056773074074073,True,37.37524409320015,289.2149963378906,286.40495544433594,277.7016357421875,True,True,47.23722888694685,True,934905.0,1653436.8333333333,False,12.29207348866692,75
IFF,Basic Materials,24.385448,1.8640136,1.4235754,0.9,3702625024.0,,-16.03418017647059,True,37.292783649471545,78.98999786376953,76.48119857788086,71.3025410079956,True,True,53.80208306428444,True,351309.0,1921090.3,False,12.154639415785914,75
RJF,Financial Services,15.14939,2.1901844,2.6936836,0.9,,0.42,-4.946023686956522,True,37.292783649471545,174.02000427246094,158.13955963134765,157.1920002746582,True,True,62.83727208922609,True,330999.0,1511459.9666666666,False,12.154639415785914,75
EXPE,Consumer Cyclical,25.693907,2.3010364,60.59479,0.91,3478249984.0,,-17.18419202884616,True,37.21213552318753,291.55999755859375,249.08648223876952,246.64652542114257,True,True,62.45344722454342,True,700262.0,1565075.4,False,12.020225871979212,75
CPAY,Technology,23.242514,5.3034487,7.313098,0.91,2095142784.0,0.491,-85.6152922804878,True,37.21213552318753,389.42999267578125,355.43859924316405,320.29489974975587,True,True,70.56187009037808,True,199351.0,675211.7,False,12.020225871979212,75
SYF,Financial Services,7.7789745,2.4906898,1.6755033,0.97,,0.036,-12.316439186956522,True,36.76316657274041,76.05000305175781,73.4738005065918,73.99216037750244,True,True,62.77423695282196,True,1078870.0,3960599.0,False,11.271944287900688,75
COP,Energy,19.892372,2.408048,2.2153952,0.98,5289124864.0,-0.202,-80.95066194285715,True,36.69368328279026,117.38999938964844,113.6734001159668,106.59835399627686,True,True,66.84146463441844,True,2004815.0,7137013.833333333,False,11.156138804650437,75
MDLZ,Consumer Defensive,38.22561,2.02828,3.1251247,1.0,2252375040.0,1.449,11.367523892857143,False,36.55888570028697,62.689998626708984,60.71997756958008,57.77082479476929,True,True,62.46769642189588,True,3701358.0,10289065.266666668,False,10.931476167144957,75
PYPL,Financial Services,10.713611,1.4314888,2.5247238,1.01,4423124992.0,-0.031,-9.381802686956522,True,36.493488853329936,56.8849983215332,46.730851287841794,51.93964879989624,True,True,80.75689782501263,True,5412982.0,18871419.4,False,10.822481422216555,75
KDP,Consumer Defensive,23.092592,2.503272,1.6789637,1.01,-16345499648.0,-0.477,-3.7654941071428603,True,36.493488853329936,31.145000457763672,30.803273162841798,28.221810779571534,True,True,45.84980463619994,True,4496586.0,15292992.866666667,False,10.822481422216555,75
CBRE,Real Estate,33.59039,0.9833347,4.88974,1.02,1686375040.0,-0.042,-20.029308933333333,True,36.429374297489694,148.1649932861328,135.39910018920898,148.00937549591063,True,True,61.44769831479608,True,954045.0,1928528.1666666667,False,10.715623829149495,75
TSN,Consumer Defensive,47.535435,0.38158414,1.174605,1.04,1029000000.0,36.022,20.67734889285714,False,36.30484410249231,60.349998474121094,58.8979500579834,59.21625122070313,True,True,66.32121920077164,True,678209.0,3101253.6333333333,False,10.508073504153856,75
CCL,Consumer Cyclical,12.511261,1.3929188,2.9385316,1.09,1899374976.0,-0.065,-30.36683802884616,True,36.01351199492963,27.834999084472656,27.539300003051757,27.776267719268798,True,True,58.481009398323785,True,7846975.0,21359512.5,False,10.022519991549384,75
BDX,Healthcare,28.486183,2.0446422,1.8831636,1.11,4531250176.0,,-3.824404074074071,True,35.904328069933165,165.4875030517578,150.98851806640624,153.41076446533202,True,True,67.0827905867051,True,625905.0,2420380.1666666665,False,9.840546783221942,75
EOG,Energy,14.1563425,3.2533956,2.4913478,1.12,2864250112.0,0.396,-86.68669144285715,True,35.85119839214471,143.67999267578125,136.42238189697267,121.98461597442628,True,True,66.09171900645178,True,531101.0,3652806.7,False,9.751997320241177,75
BLK,Financial Services,26.256466,6.530956,3.0050976,1.14,,0.197,6.161052313043477,False,35.74773533539876,1098.02001953125,1030.8425842285155,1045.8592050170898,True,True,61.49759582142202,True,251721.0,893167.3666666667,False,9.579558892331269,75
PHM,Consumer Cyclical,13.14709,1.4943247,1.8954701,1.15,1078512896.0,-0.182,-29.73100902884616,True,35.69735332515726,129.58999633789062,124.78729278564452,123.74870162963867,True,True,57.33332439384488,True,512485.0,2025039.5,False,9.495588875262097,75
ABBV,Healthcare,127.10345,7.256847,-68.49482,0.42,20811624448.0,-0.462,94.79286292592593,False,35.68018878300953,257.92999267578125,236.0974090576172,221.35783546447755,True,True,63.94072421698864,False,2323038.0,8060974.6,False,26.13364797168255,50
OXY,Energy,74.89864,2.610333,1.792703,1.16,3033374976.0,3.156,-25.944393942857147,True,35.64783997026475,55.27000045776367,54.74174278259277,49.81986183166504,True,True,58.77581919676955,True,2425885.0,9200469.5,False,9.41306661710791,75
AFL,Financial Services,14.491429,3.563344,2.1606517,1.18,4923125248.0,38.6,-5.603984686956522,True,35.551330888694594,126.62000274658203,119.43260009765625,112.47779838562012,True,True,63.51118474471293,True,524175.0,2234589.1666666665,False,9.252218147824323,75
PSX,Energy,20.772503,0.6260901,2.9514854,1.2,-1134499968.0,-0.568,-80.07053094285715,True,35.458038776510115,209.39500427246094,185.13370086669923,158.2502212524414,True,True,72.59156585911371,True,785466.0,2781535.533333333,False,9.096731294183524,75
A,Healthcare,27.726908,5.3924503,5.4715486,1.22,930625024.0,0.6,-4.58367907407407,True,35.36780542210217,138.24000549316406,130.97750076293946,130.52858264923097,True,True,57.77255339974899,True,738185.0,2293409.5,False,8.946342370170292,75
SOLV,Healthcare,10.597307,1.8147503,3.0235727,1.22,377500000.0,-0.91,-21.71328007407407,True,35.36780542210217,86.81500244140625,78.15469955444335,75.1903750038147,True,True,70.40549525644735,True,312169.0,1207788.9666666666,False,8.946342370170292,75
FDS,Financial Services,17.392221,3.8481739,4.644743,1.22,621161344.0,-0.096,-2.7031926869565233,True,35.36780542210217,265.2149963378906,244.20292694091796,246.0591269683838,True,True,57.78676480528707,True,361214.0,1023757.1333333333,False,8.946342370170292,75
