ticker,sector,pe_ratio,ps_ratio,pb_ratio,peg_ratio,free_cash_flow,earnings_growth,pe_vs_sector,undervalued_flag,score,price,sma50,sma200,above_sma50,above_sma200,rsi,macd_bullish,volume_today,avg_volume_30d,volume_spike,fundamentals_score,technicals_score,headline_count,sentiment_score,sentiment_norm,macro_adjustment
HIG,Financial Services,9.847376,1.3333894,2.0068681,0.12,5507500032.0,0.361,-10.3381184942029,True,87.81144362292993,142.72999572753906,134.40809371948242,133.8160486602783,True,True,56.86479067011974,True,636954.0,1774958.4666666666,False,91.66025057744804,75,10.0,0.2508901000022888,86.57165431539153,3
GPN,Industrials,31.772058,2.6695635,0.99304795,0.24,7124387840.0,,-3.031866200000003,True,65.1673166640762,86.53500366210938,73.33649452209472,74.05162940979004,True,True,67.34998692067217,True,1629235.0,3450874.5,False,45.79162875341219,75,10.0,0.2886375069618225,91.55541862520352,0
MU,Technology,19.519087,10.810642,9.685703,0.13,7639499776.0,13.685,-88.96038454878048,True,59.79404964058574,864.0800170898438,962.0533618164062,514.7314043426513,False,True,42.447762225833095,False,48376857.0,51306648.56666667,False,84.60353952759635,25,10.0,-0.0271494388580322,49.862284265836905,3
SW,Consumer Cyclical,50.276592,0.7912332,1.3743964,0.26,1270000000.0,,7.648152461538466,False,59.55144267311108,47.43999862670898,43.495399932861325,40.748596572875975,True,True,59.124501855517714,True,2688129.0,5961887.633333334,False,42.26327322848636,75,10.0,0.1360913097858428,71.41484860146107,0
CSGP,Real Estate,161.1111,3.330235,1.4541442,0.11,427075008.0,12.61,105.04812056666664,False,57.411001055308056,29.040000915527344,30.79860008239746,49.022700023651126,False,False,52.73800073915768,True,7648127.0,7816214.233333333,False,100.0,25,10.0,-0.3797777831554413,3.3050052765402875,3
COF,Financial Services,11.506057,2.6645362,1.1827269,0.22,,,-8.6794374942029,True,56.768505369413134,209.1199951171875,196.49679901123048,206.2315590667725,True,True,59.758602083332526,False,2052413.0,4581227.1,False,49.96150346468818,50,10.0,0.2308755278587341,83.9291440515173,0
GM,Consumer Cyclical,39.178574,0.4278312,1.2413715,0.35,21933750272.0,-0.262,-3.449865538461537,True,54.10727931929503,87.87999725341797,80.12542907714844,76.97579307556153,True,True,70.99204486301261,True,3589453.0,8287215.1,False,31.375776180143788,75,10.0,0.11545991897583,68.69090019115161,0
FIS,Technology,8.890504,2.0727124,1.4844837,0.24,2446874880.0,30.406,-99.58896754878047,True,53.608045534896576,45.875,41.00244171142578,51.797962284088136,True,False,63.48217919231916,True,4415726.0,5693600.866666666,False,45.79162875341219,50,10.0,0.1822493493556976,77.50906297930543,0
TPR,Consumer Cyclical,46.17933,3.9100032,45.042988,0.3,1529737472.0,0.737,3.550890461538465,False,53.41741819478005,151.84500122070312,143.19662658691405,134.15168064117432,True,True,64.33270356770558,True,630289.0,2575762.966666667,False,36.61790438860503,75,10.0,0.0,53.446806099538925,0
DAL,Industrials,14.721392,0.8548801,2.6615295,0.21,2817374976.0,-0.254,-20.082532200000003,True,51.38142725984662,88.79000091552734,84.20681900024414,70.40946365356446,True,True,53.21396256831166,False,3065512.0,7652990.4,False,52.34428901398873,50,10.0,-0.013741797208786,51.63248601775845,0
AVY,Consumer Cyclical,19.753378,1.489854,5.8454413,1.92,809049984.0,0.043,-22.875061538461534,True,48.3241166769829,175.4499969482422,159.93803863525392,170.84630294799803,True,True,65.97310961720095,True,1297235.0,776287.8333333334,True,5.6565846573808365,100,8.0,0.1169926673173904,68.89326790580765,-3
CBRE,Real Estate,34.082382,0.99773747,4.961359,1.02,1686375040.0,-0.042,-21.98059743333333,True,48.07203072311727,149.3300018310547,135.42240036010742,148.01520053863524,True,True,62.60288794637759,True,1531111.0,1947763.7,False,10.715623829149497,75,10.0,0.3525974035263061,100.0,-3
MET,Financial Services,18.849129,0.8081939,2.3040001,0.5,-17429749760.0,0.359,-1.336365494202898,True,45.77380539540516,97.41999816894533,88.1773991394043,78.9678331375122,True,True,73.94187356236692,True,3336755.0,3893198.5,False,21.93994540491356,75,10.0,0.0742815613746643,63.25414981597033,-3
AMCR,Consumer Cyclical,36.128,0.9409433,1.7912816,0.62,149500000.0,-0.117,-6.500439538461535,True,44.34019037711366,45.1150016784668,41.439036254882815,41.210272006988525,True,True,58.46828356527044,True,1717800.0,3444033.333333333,False,17.678602474164425,75,10.0,0.0926104187965393,65.67409631869832,-3
BLK,Financial Services,26.339798,6.5516834,3.0146353,1.14,,0.197,6.154303505797099,False,43.87046083614626,1099.77001953125,1030.8775842285156,1045.8679541015624,True,True,61.74624561517314,True,390426.0,897790.8666666667,False,9.579558892331267,75,10.0,0.2128428101539611,81.54829667298593,-3
ABBV,Healthcare,127.635475,7.2872224,-68.781525,0.42,20811624448.0,-0.462,95.16363247592594,False,43.83792817894264,259.5350036621094,236.1295092773437,221.3658605194092,True,True,66.50561875310092,False,3275795.0,8092733.166666667,False,26.13364797168255,50,10.0,0.2608672678470611,87.88893295842747,-3
EXPE,Consumer Cyclical,25.867493,2.3165822,61.004166,0.91,3478249984.0,,-16.760946538461535,True,43.27680369401129,292.7699890136719,249.1106820678711,246.65257530212403,True,True,63.374784940795465,True,976341.0,1574278.0333333334,False,12.020225871979212,75,9.0,0.1487677494684855,73.08851025810323,-3
